stock_id,stock_name,symbol,sector,mcap_type,overall_score,verdict,financial_score,valuation_score,qm_score,technical_score,start_price,end_price,return_pct,outperformance_vs_avg
13369,"Mahanagar Gas Ltd",MGL,"Gas Distribution",Small Cap,77.67,BUY,82.25,82.50,0.00,27.00,1326.75,1200.65,-9.5,-5.84
30111,"Epigral Ltd",EPIGRAL,"Chemicals",Small Cap,77.65,BUY,87.50,76.00,0.00,46.00,1842.3,926.95,-49.69,-46.03
77345,"Trident Lifeline Ltd",543616,"Pharmaceuticals",Small Cap,77.65,BUY,83.75,78.50,0.00,46.00,275.05,258,-6.2,-2.54
91650,"RBZ Jewellers Ltd",RBZJEWEL,"Diamond, Gems and Jewellery",Small Cap,77.60,BUY,79.25,86.00,0.00,16.50,135.7,124.45,-8.29,-4.63
44993,"Jupiter Life Line Hospitals Ltd",JLHL,"Healthcare",Small Cap,77.58,BUY,84.25,81.00,0.00,27.00,1405.75,1277.15,-9.15,-5.49
103,"Carborundum Universal Ltd",CARBORUNIV,"Capital Goods-Non Electrical Equipment",Small Cap,77.52,BUY,74.25,85.00,0.00,43.50,926.5,833.65,-10.02,-6.36
570,"Transpek Industry Ltd",TRANSPEK,"Chemicals",Small Cap,77.51,BUY,81.00,86.00,0.00,8.00,1465.35,1026.9,-29.92,-26.26
74635,"Sigma Solve Ltd",SIGMA,"IT - Software",Small Cap,77.45,BUY,87.75,68.00,0.00,94.00,40,37.61,-5.98,-2.32
1526,"Nitta Gelatin India Ltd",KERALACHEM,"Chemicals",Small Cap,77.34,BUY,84.75,77.50,0.00,44.50,833.75,834.25,0.06,3.72
44230,"Karnimata Cold Storage Ltd",537784,"Miscellaneous",Small Cap,77.34,BUY,67.25,87.00,70.00,0.00,9.32,9.32,0,3.66
4469,"Onward Technologies Ltd",ONWARDTEC,"IT - Software",Small Cap,77.33,BUY,77.50,77.50,0.00,75.50,341.5,267.4,-21.7,-18.04
24915,"Team Lease Services Ltd",TEAMLEASE,"Miscellaneous",Small Cap,77.24,BUY,54.25,100.00,0.00,29.50,1851,1268.5,-31.47,-27.81
78854,"Netweb Technologies India Ltd",NETWEB,"IT - Hardware",Small Cap,77.24,BUY,83.50,70.00,0.00,97.00,2321.6,3629,56.31,59.97
18844,"Info Edge (India) Ltd",NAUKRI,"E-Commerce/App based Aggregator",Mid Cap,77.20,BUY,88.75,77.00,0.00,29.00,1381.05,1043.1,-24.47,-20.81
